FormatVersion,v1.0
Disclaimer,This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/
Publication Date,2026-04-22T19:42:03Z
Version,20260422194203
OfferCode,AmazonDatabaseSavingsPlans
SKU,RateCode,Unit,EffectiveDate,DiscountedRate,Currency,DiscountedSKU,DiscountedServiceCode,DiscountedUsageType,DiscountedOperation,PurchaseOption,LeaseContractLength,LeaseContractLengthUnit,ServiceCode,UsageType,Operation,Description,Instance Family,Location,Location Type,Granularity,Product Family,DiscountedRegionCode,DiscountedInstanceType
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.4K33UYY9EHMDGZCY,Hrs,2026-04-20T21:53:43Z,4.6003200000,USD,4K33UYY9EHMDGZCY,AmazonRDS,APS5-InstanceUsage:db.m7g.12xl,CreateDBInstance:0014,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,M7G
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.4NAZP4E4CHJSAZKT,Hrs,2026-04-20T21:53:43Z,0.1096,USD,4NAZP4E4CHJSAZKT,AmazonES,APS5-ESInstance:r8g.large,ESDomain,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,r8g.large.search
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.4QSAFUCDDJ7Z886X,Hrs,2026-04-20T21:53:43Z,1.5360000000,USD,4QSAFUCDDJ7Z886X,AmazonRDS,APS5-Multi-AZUsage:db.m8g.2xl,CreateDBInstance:0014,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,M8G
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.4QU6BUT4VYYYGBSP,Hrs,2026-04-20T21:53:43Z,0.3432,USD,4QU6BUT4VYYYGBSP,AmazonRDS,APS5-InstanceUsageIOOptimized:db.r7i.large,CreateDBInstance:0016,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,db.r7i.large
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.4X5DPWMEX7RZASPA,Hrs,2026-04-20T21:53:43Z,10.4448000000,USD,4X5DPWMEX7RZASPA,AmazonRDS,APS5-Multi-AZUsage:db.r7g.12xl,CreateDBInstance:0018,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,R7G
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.4ZARURZJ3RF2256V,Hrs,2026-04-20T21:53:43Z,7.296,USD,4ZARURZJ3RF2256V,AmazonRDS,APS5-InstanceUsage:db.r7i.16xl,CreateDBInstance:0005,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,db.r7i.16xlarge
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.52GSUC4W32A8ZA6D,Hrs,2026-04-20T21:53:43Z,6.1337600000,USD,52GSUC4W32A8ZA6D,AmazonRDS,APS5-InstanceUsage:db.m7g.16xl,CreateDBInstance:0018,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,M7G
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.54MXG8VZ9HVCYB5W,Hrs,2026-04-20T21:53:43Z,0.456,USD,54MXG8VZ9HVCYB5W,AmazonRDS,APS5-Multi-AZUsage:db.r7i.large,CreateDBInstance:0019,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,db.r7i.large
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.56KUPBM2WRA7A7MT,Hrs,2026-04-20T21:53:43Z,30.608,USD,56KUPBM2WRA7A7MT,AmazonRDS,APS5-Multi-AZUsage:db.m8i.metal-48xl,CreateDBInstance:0005,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,db.m8i.metal-48xl
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.594U6KYHY4YD72JM,Hrs,2026-04-20T21:53:43Z,1.7408000000,USD,594U6KYHY4YD72JM,AmazonRDS,APS5-Multi-AZUsage:db.r7g.2xl,CreateDBInstance:0018,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,R7G
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.5C4V36AKT83NGRVG,Hrs,2026-04-20T21:53:43Z,0.3840000000,USD,5C4V36AKT83NGRVG,AmazonRDS,APS5-InstanceUsage:db.m8g.xl,CreateDBInstance:0018,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,M8G
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.5DGCMKMAPMRVBMWE,Hrs,2026-04-20T21:53:43Z,6.1440000000,USD,5DGCMKMAPMRVBMWE,AmazonRDS,APS5-Multi-AZUsage:db.m8g.8xl,CreateDBInstance:0014,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,M8G
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.5DRFDJ8KBFSNK9UP,Hrs,2026-04-20T21:53:43Z,11.488,USD,5DRFDJ8KBFSNK9UP,AmazonRDS,APS5-Multi-AZUsage:db.r8i.12xl,CreateDBInstance:0005,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,db.r8i.12xlarge
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.5JWV62NYWK9V4S6T,Hrs,2026-04-20T21:53:43Z,9.2006400000,USD,5JWV62NYWK9V4S6T,AmazonRDS,APS5-Multi-AZUsage:db.m7g.12xl,CreateDBInstance:0014,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,M7G
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.5K4QYGHQSFDXH5B4,Hrs,2026-04-20T21:53:43Z,6.1337600000,USD,5K4QYGHQSFDXH5B4,AmazonRDS,APS5-InstanceUsage:db.m7g.16xl,CreateDBInstance:0002,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,M7G
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.5NBCMB8S64CAGKT3,ReplicatedWriteRequestUnits,2026-04-20T21:53:43Z,0.0000005822,USD,5NBCMB8S64CAGKT3,AmazonDynamoDB,APS5-ReplWriteRequestUnits,PayPerRequestThroughput,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.5PV8KQT5E5QK3E68,Hrs,2026-04-20T21:53:43Z,4.6003200000,USD,5PV8KQT5E5QK3E68,AmazonRDS,APS5-InstanceUsage:db.m7g.12xl,CreateDBInstance:0018,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,M7G
DZCHH8H3SPVYZ2Z4,DZCHH8H3SPVYZ2Z4.5RY36YKCBYTH33FK,Hrs,2026-04-20T21:53:43Z,0.848,USD,5RY36YKCBYTH33FK,AmazonRDS,APS5-InstanceUsage:db.m8i.2xl,CreateDBInstance:0019,No Upfront,1,year,DatabaseSavingsPlans,DatabaseSP:1yrNoUpfront,,1 year No Upfront Database Savings Plan,,Any,AWS Region,hourly,DatabaseSavingsPlans,ap-south-2,db.m8i.2xlarge
